Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
Coffeeverse,Carbonic Candy,Light Roast,"Rambutan , Pomegranate , Strawberry Bubblegum",Ratnagiri Estate,SLN 9; Arabica,Culture Process,4400 feet,"INR 1,100",https://coffeeverse.in/products/carbonic-candy
Coffeeverse,RC-7 Naturals,Light Plus Roast,"Red Apple , Dried Pineapple , Cran-Grape",Ratnagiri Estate,Hemavathi; Arabica,60hrs Anaerobic Naturals,4450 feet,"INR 1,100",https://coffeeverse.in/products/rc-7-naturals
Coffeeverse,Kenyan Washed,Medium Roast,"Orange Candy , Jaggery , Fig Jam","Nyeri, Central Province Estate",Arabica,Double Washed,,"INR 2,250",https://coffeeverse.in/products/kenyan-washed
Coffeeverse,Ratnagiri AAA Washed,Medium Roast,"Clove , Toffee , Blackcurrant",Ratnagiri Estate,Arabica,Washed,,INR 950,https://coffeeverse.in/products/ratnagiri-aaa-washed
Coffeeverse,Dark Room Naturals,Medium Light Roast,"Red Globe , Pink Guava , Blackberries",Ratnagiri Estate,Arabica,Thermal Shock / Dark Room,,"INR 1,100",https://coffeeverse.in/products/dark-room-naturals
Coffeeverse,Hydro Honey,Medium Light Roast,"Apricot , Honeydew Melon , Black Raisin",Ratnagiri Estate,Arabica,Thermal Shock/Honey,,"INR 1,100",https://coffeeverse.in/products/hydro-honey
Coffeeverse,Thermal Shock,Medium Light Roast,"Pear , Green Apple Candy , Blackberry",Ratnagiri Estate,Arabica,72hrs Thermal Shock Naturals,,"INR 1,100",https://coffeeverse.in/products/thermal-shock
Coffeeverse,Blossom Washed,Light Roast,"Java Apple , Wild Honey , Litchi",Ratnagiri Estate,Catuai; Arabica,Carbonic 90Hrs Sequential Yeast Culture Washed,"4,300 feet","INR 1,100",https://coffeeverse.in/products/blossom-washed
Coffeeverse,Culture Process,Medium Roast,"Earl Grey , Marigold , Peach Candy",Ratnagiri Estate,Catuai; Arabica,Culture Process,"4,400 feet","INR 1,100",https://coffeeverse.in/products/culture-process
Coffeeverse,BeWild Canephora,Medium Light Roast,"Dark Chocolate , Roasted Walnut , Clove",Poomale Estate,Robusta,Anoxic Naturals,,"INR 1,000",https://coffeeverse.in/products/bewild-canephora
Coffeeverse,Anugraha Slow Dried Naturals,Medium Light Roast,"Cola , Malt , Black Tea",Anugraha Estate,Arabica,Slow Sundried Naturals,,"INR 1,000",https://coffeeverse.in/products/anugraha-slow-dried-naturals
